측정소명,pm10,pm2.5,co,o3,no2,so2,weighted_score
관악구,1.0,0.8634902593157552,0.24363734674381254,0.5583966051850662,0.7914722498308411,0.5662485656434588,0.853383842096461
마포구,0.8970465907945742,0.8110333405970795,0.43095604266853893,0.4243957165268526,0.5245383820953702,0.3837273958626908,0.7714128494143342
영등포구,0.7324459953643214,1.0,0.27724049000644746,0.07018156933631259,0.8386773547094188,0.2281947561582678,0.7636931066562509
양천구,0.9821922201213069,0.6251289605578556,0.437334790119826,0.21845601653983904,0.8998132182512579,0.6655304576454282,0.7539851963994826
강서구,0.8953778146719071,0.550615123120505,0.39195279073343026,0.6863692943839954,0.7605482801898895,0.7705706106673562,0.7088692239156984
성동구,0.7798899239741814,0.572537459141425,0.33268858800773693,0.6111355468444222,0.8855711422845696,0.30943321577695837,0.6479123778919268
동작구,0.6577168085211778,0.6396698191327079,0.2700959241957127,0.32947541577070005,0.7878164082607868,0.22491696302194097,0.5995698866240113
광진구,0.5628804493568298,0.6522501634342994,0.8420373952288845,0.07435077147510283,0.5386773547094186,0.4073359748046115,0.5791723199273526
서초구,0.6585091782686749,0.5182950533885378,0.04706640876853663,0.7186009487245113,0.77314629258517,0.38129800697810823,0.5667272755157013
강동구,0.5723873063698739,0.6067228590106777,0.3268858800773694,0.0,0.7346693386773548,0.3531770017254843,0.5423806771762311
강북구,0.7849420710929378,0.36811645238614066,0.28279337134216653,0.79963261915448,0.08761600745918297,0.0,0.519725509289423
노원구,0.4192135145245013,0.6146043146655047,0.42553191489361686,0.013549906951070945,0.45411210142417335,0.6635495782174057,0.4913643067503158
은평구,0.5577768041827009,0.3213113096535194,0.4925210519752429,1.0,0.343650402582224,0.6587705553765801,0.47638234603119045
평균,0.5293205596277892,0.3969807029639658,0.4092106978399269,0.40416105041198636,0.6330683224372242,0.44801780956392223,0.465243399049355
구로구,0.5578267222811504,0.32517655262584455,0.0,0.6549121693017264,0.4262525050100199,0.7000027331745102,0.4422596803371108
강남구,0.4466952852377366,0.44268607539769,0.27965036007008537,0.07398793634886491,0.6007004207661422,0.7672105982650168,0.44183001002667616
동대문구,0.36824120049397147,0.4127794290695137,0.3846794713618985,0.6171128686397029,0.6567892921006258,0.7232114173212472,0.4314979042965678
서대문구,0.4963213905670596,0.17138653301372875,0.9999999999999999,0.716060467337325,0.19599198396793582,0.49065747184942277,0.3872186655900495
성북구,0.6905985730853916,0.0,0.8548275672824633,0.13237216790660966,0.8939879759519038,0.21673805031460613,0.38113571730693585
금천구,0.31655171412515726,0.38022854652429716,0.3330835067386847,0.10345552421152515,0.8256649216580709,0.36770718470927743,0.3602076611256597
송파구,0.42342337379731143,0.1794824144693834,0.419374645910252,0.16503091799380432,1.0,0.22507020001908717,0.3316361035028351
중랑구,0.26800484747864495,0.2507031597297886,0.30279681501115696,0.39379947441616103,0.37188744748516966,0.9999999999999998,0.3109073897289978
중구,0.25088486127978227,0.11188180431466543,0.45315555846019107,0.6531750017438962,0.9058116232464934,0.2490251304194706,0.25816503193128165
종로구,0.2582142814441317,0.09403913706689915,0.5480335267569308,0.20046913617352624,0.7775551102204408,0.36567522628220583,0.23548801737606753
도봉구,0.2813910965584272,0.016755197210721384,0.48355899419729187,0.8651094437990974,0.0,0.3969207876740102,0.2065379787911794
용산구,0.0,0.27015628677271764,0.3217279174725983,0.17788595792174222,0.9018036072144286,0.19486615734034318,0.1878766967065427
